Name	Title	Comment	ChatText1	ChatText2	ChatText3
Martin	Weapon Store	Beginner's Village NPCU0020			
Kilman	Item Store	Beginner's Village  NPCO0027			
Somma	Magical Goods	Beginner's Village  NPCP0014			
Mogwafsky	The Blacksmith	Beginner's Village  NPCO0035			
Manafon	Accessory Store	Beginner's Village  NPCP0048			
Yoja	Spiritual Goods	Beginner's Village  NPCP0036			
Natalie	Storage Manager	Beginner's Village  NPCU0010			
Marit	Weapon Store	Meteor Pit NPCU0020			
Marts	Weapon Store	Meteor Pit  NPCF0019			
Marda	Weapon Store	Meteor Pit  NPCF0019			
Garisky	The Blacksmith	Meteor Pit  NPCO0035			
Hoasky	The Blacksmith	Meteor Pit  NPCO0035			
Ronsky	The Blacksmith	Meteor Pit			
Hoffmann	Item Store	Meteor Pit  NPCO0027			
Erifon	Accessory Store	Meteor Pit  NPCP0048			
Takifon	Accessory Store	Meteor Pit			
Yulilie	Storage Manager	Thunder Hill  NPCU0010			
Sonkou	Magical Goods	Thunder Hill  NPCP0014			
Sonlun	Magical Goods	Thunder Hill  NPCP0014			
Sontoma	Magical Goods	Thunder Hill			
Kuja	Spiritual Goods	Thunder Hill  NPCP0036			
Moja	Spiritual Goods	Thunder Hill  NPCP0036			
Roja	Spiritual Goods	Thunder Hill			
Huffman	Item Store	Meteor Pit  NPCO0027			
Anfon	Accessory Store	Meteor Pit			
Meifon	Accessory Store	Thunder Hill			
Marilie	Storage Manager	Meteor Pit  NPCU0010			
Alcrow	Card Trader	Meteor Pit npcc0057			
Alrin	Card Trader	Thunder Hill npcc0057			
Chebara	Guild	Meteor Pit NPCP0034			
Boman	Item Store	Seal Tower  NPCP0048			
Maon	Weapon Store	Meteor Pit NPCU0020			
Robinsky	The Blacksmith	Meteor Pit NPCO0035			
Sonlow	Magical Goods	Thunder Hill  NPCP0014			
Shuja	Spiritual Goods	Thunder Hill NPCP0036			
Yucha	Toy Store	Meteor Pit NPCC0043			
Micha	Toy Store	Thunder HillNPCC0043			
Parsinikov	Holy Crater (Gold Making) 2	Meteor Pit NPCU0068			
Tiga	Holy Crater (Blacksmith) 2	Meteor Pit NPCU0068			
Siga	Thunder Hill (Monk) 2	Thunder Hill NPCU0064			
Eriade	Thunder Hill (Devil Reiner) 2	Thunder Hill NPCU0064			
Sucha	Thunder Hill (Illusion) 2	Thunder Hill NPCU0066			
Medu	Thunder Hill (Spiritual Heal) 2	Thunder Hill NPCU0066			
Tidu	Newbie Store	Beginner's Village NPCC0040			
Ann	Item Store	Saint Field  NPCP0048			
Anise	Item Store	Aired Field  NPCP0048			
Almin	Card Trader	Meteor Pit npcc0057			
Alrita	Card Trader	Thunder Hill npcc0057			
Alkoner	Card Trader	Meteor Pit npcc0057			
Alza	Card Trader	Thunder Hill npcc0057			
Alun	Card Trader	Meteor Pit npcc0057			
Albany	Card Trader	Thunder Hill npcc0057			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. npce0239			
Chesla	Guild	St. Louis Church  npcp127			
Marth	Weapon Store	San Joel npcu0068			
Marun	Weapon Store	San Joel npco144			
Fransky	The Blacksmith	San Joel npcp136			
Jolansky	The Blacksmith	San Joel npcp137			
Sonsin	Magical Goods	San Joel npcp117			
Sonyuna	Magical Goods	San Joel npcp189			
Raja	Spiritual Goods	San Joel npcu131			
Uja	Spiritual Goods	San Joel npcu121			
Trifon	Accessory Store	San Joel npcu132			
Ilfon	Accessory Store	San Joel npcu112			
Mahit	Weapon Store	San Joel npcu171			
Maho	Weapon Store	San Joel npcu141			
Slasky	The Blacksmith	San Joel npcu140			
Ninsky	The Blacksmith	San Joelnpcu170			
Sonlei	Magical Goods	San Joel npcu181			
Sonki	Magical Goods	San Joel npcu181			
Onja	Spiritual Goods	San Joel npcu133			
Rateja	Spiritual Goods	San Joel npcu193			
Littleman	Item Store	San Joel npcp107			
Latomita	Auction Staff	Meteor Pit npcf0046			
Karomita	Auction Staff	Thunder Hill npcf0051			
Salilie	Storage Manager	San Joel NPCU0010			
Almina	Card Trader	San Joel npcp107			
Almita	Card Trader	San Joel npcp128			
Altyoo	Card Trader	San Joel npcp107			
Alminif	Card Trader	San Joel npcp108			
Yacha	Toy Store	San Joel npcc0049			
Alrit	Card Trader	San Joel npcc0057			
Alrai	Card Trader	San Joel npcc0044			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Hunter Stone		Stone monument with spiritual power. On top lies the BS Spirit icon. Npce0239			
Rokimita	Auction Staff	San Joel npcf0051			
Alyon	Card Trader	San Joel npcc0057			
Alrere	Card Trader	San Joel npcp107			
Alf	Card Trader	San Joel npcp128			
Altain	Card Trader	San Joel npcp107			
Alulia	Card Trader	San Joel npcp108			
Aluchia	Card Trader	Seal Tower 2F npcu132			
Aluma	Card Trader	Seal Tower 2F npcp189			
Alush	Card Trader	Seal Tower 2F npcp197			
Alua	Card Trader	Seal Tower 2F npcp187			
Fian	Guild Storage Manager	San Joel npco125			
Karifa	Auction Staff	San Joel NPCP106			
Filia	Guild Storage Manager	Meteor Pit npco135			
Haniamita	Auction Staff	Meteor Pit npcp188			
Finalia	Guild Storage Manager	Thunder Hill npcp189			
Kania	Auction Staff	Thunder Hill npcp127			
Troman	Item Store	San Joel npco114			
Tokuman	Item Store	San Joel npcu141			
Yoshiman	Item Store	Meteor Pit npco144			
Yokaman	Item Store	Meteor Pit npcu140			
Hightman	Item Store	Thunder Hill npcp136			
Rentman	Item Store	Thunder Hill npcu0069			
Lightman	Item Store	Star Pier npcp137			
Ittleman	Item Store	Star Pier npcp137			
Rottman	Item Store	Shell Pier npcp116			
Krashman	Item Store	Shell Pier npcp166			
Royman	Item Store	Spectre Station Center npcu130			
Eranman	Item Store	Spectre Station Center npcu122			
Trashman	Item Store	Spectre Isle npcu133			
Trafiman	Item Store	Spectre Isle npcu130			
Monilman	Item Store	Seal Tower 2F npcu120			
Monleiman	Item Store	Seal Tower 2F npcu130			
Lunafon	Accessory Store	San Joel NPCP0048			
Fell	Equipment Enhancement	Meteor Pit npcu230			
Fenwell	Equipment Enhancement	Thunder Hill npcu230			
Phoenix	Equipment Enhancement	San Joel npcu230			
Felk	Equipment Enhancement	Mirage Oasis npcu230			
Maran	Weapon Store	Mirage Oasis  npcu171			
Maleo	Weapon Store	Mirage Oasis  npcu141			
Minasky	The Blacksmith	Mirage Oasis  npcu140			
Snasky	The Blacksmith	Mirage Oasis npcu170			
Sonla	Magical Goods	Mirage Oasis  npco0125			
Sonlina	Magical Goods	Mirage Oasis  npco0195			
Ranja	Spiritual Goods	Mirage Oasis  npcu133			
Wija	Spiritual Goods	Mirage Oasis  npcu192			
Yolilie	Storage Manager	Mirage Oasis  NPCU0010			
Chesota	Guild	Mirage Oasis  npcp127			
Fillin	Guild Storage Manager	Mirage Oasis  npcp0106			
Minamita	Auction Staff	Mirage Oasis  npcu181			
Sianmita	Auction Staff	Mirage Oasis  npcf0051			
Toamita	Auction Staff	Heaven Shrine npcf0051			
Artman	Item Store	Sacred Hilltop npcf0051			
Yuman	Item Store	Mirage Oasis  npco114			
Etman	Item Store	Mirage Oasis  npcu141			
Shoaman	Item Store	Death Valley npcp116			
Kiteman	Item Store	Sacred Hilltop npcp166			
Yanfon	Accessory Store	Mirage Oasis  NPCP0048			
Sinfon	Accessory Store	Mirage Oasis  NPCP0048			
Kiafon	Accessory Store	Mirage Oasis  NPCP0048			
Tomafon	Accessory Store	Mirage Oasis  NPCP0048			
Ifon	Accessory Store	Mirage Oasis  NPCP0048			
Sicha	Toy Store	Mirage Oasis  npcc0049			
